apt_name,created,last_update
pittytiger,2019-03-20 15:17:31.850595+01,2019-03-20 15:17:31.850595+01
taidoor,2019-03-20 15:18:40.412396+01,2019-03-20 15:18:40.412396+01
apt33,2019-03-20 15:19:14.849903+01,2019-03-20 15:19:14.849903+01
leviathan,2019-03-20 15:19:53.299209+01,2019-03-20 15:19:53.299209+01
naikon,2019-03-20 15:20:41.161472+01,2019-03-20 15:20:41.161472+01
equation,2019-03-20 15:20:56.013239+01,2019-03-20 15:20:56.013239+01
lazarusgroup,2019-03-20 15:21:05.593476+01,2019-03-20 15:21:05.593476+01
leafminer,2019-03-20 15:21:27.042954+01,2019-03-20 15:21:27.042954+01
thrip,2019-03-20 15:21:35.509506+01,2019-03-20 15:21:35.509506+01
cleaver,2019-03-20 15:21:41.855736+01,2019-03-20 15:21:41.855736+01
ke3chang,2019-03-20 15:22:03.143551+01,2019-03-20 15:22:03.143551+01
duststorm,2019-03-20 15:22:15.584085+01,2019-03-20 15:22:15.584085+01
apt12,2019-03-20 15:22:23.784717+01,2019-03-20 15:22:23.784717+01
deeppanda,2019-03-20 15:22:32.520114+01,2019-03-20 15:22:32.520114+01
group5,2019-03-20 15:23:02.236514+01,2019-03-20 15:23:02.236514+01
winntigroup,2019-03-20 15:23:08.914888+01,2019-03-20 15:23:08.914888+01
copykittens,2019-03-20 15:23:19.001673+01,2019-03-20 15:23:19.001673+01
sowbug,2019-03-20 15:23:28.28014+01,2019-03-20 15:23:28.28014+01
poseidongroup,2019-03-20 15:23:34.349984+01,2019-03-20 15:23:34.349984+01
molerats,2019-03-20 15:23:41.188072+01,2019-03-20 15:23:41.188072+01
apt3,2019-03-20 15:23:50.179167+01,2019-03-20 15:23:50.179167+01
apt30,2019-03-20 15:24:03.459588+01,2019-03-20 15:24:03.459588+01
fin5,2019-03-20 15:24:32.525562+01,2019-03-20 15:24:32.525562+01
oilrig,2019-03-20 15:24:43.579739+01,2019-03-20 15:24:43.579739+01
apt19,2019-03-20 15:25:00.723657+01,2019-03-20 15:25:00.723657+01
rtm,2019-03-20 15:25:14.982575+01,2019-03-20 15:25:14.982575+01
monsoon,2019-03-20 15:25:24.615762+01,2019-03-20 15:25:24.615762+01
threatgroup3390,2019-03-20 15:25:30.454741+01,2019-03-20 15:25:30.454741+01
stealthfalcon,2019-03-20 15:25:43.372437+01,2019-03-20 15:25:43.372437+01
suckfly,2019-03-20 15:25:50.2721+01,2019-03-20 15:25:50.2721+01
strider,2019-03-20 15:25:57.93423+01,2019-03-20 15:25:57.93423+01
neodymium,2019-03-20 15:26:07.385259+01,2019-03-20 15:26:07.385259+01
blackoasis,2019-03-20 15:26:20.594547+01,2019-03-20 15:26:20.594547+01
apt1,2019-03-20 15:26:29.526015+01,2019-03-20 15:26:29.526015+01
gamaredongroup,2019-03-20 15:26:51.299618+01,2019-03-20 15:26:51.299618+01
fin7,2019-03-20 15:27:02.5657+01,2019-03-20 15:27:02.5657+01
moafee,2019-03-20 15:27:13.384119+01,2019-03-20 15:27:13.384119+01
muddywater,2019-03-20 15:27:21.141213+01,2019-03-20 15:27:21.141213+01
orangeworm,2019-03-20 15:27:32.2265+01,2019-03-20 15:27:32.2265+01
patchwork,2019-03-20 15:27:39.592136+01,2019-03-20 15:27:39.592136+01
nightdragon,2019-03-20 15:29:24.337564+01,2019-03-20 15:29:24.337564+01
darkhotel,2019-03-20 15:29:39.687481+01,2019-03-20 15:29:39.687481+01
sandwormteam,2019-03-20 15:29:45.863308+01,2019-03-20 15:29:45.863308+01
fin10,2019-03-20 15:31:14.822443+01,2019-03-20 15:31:14.822443+01
apt34,2019-03-20 15:31:22.48124+01,2019-03-20 15:31:22.48124+01
dragonfly20,2019-03-20 15:31:30.571754+01,2019-03-20 15:31:30.571754+01
honeybee,2019-03-20 15:31:40.401302+01,2019-03-20 15:31:40.401302+01
