name,related_words,created,last_update
"","",2019-07-15 10:57:06.370602+00,2019-07-15 10:57:06.370602+00
['u.s. satellite and aerospace sector'],"",2019-07-15 10:59:35.372621+00,2019-07-15 10:59:35.372621+00
"[''japan'', ''russia'', ''taiwan'', ''south korea'', ''china'']","",2019-07-15 10:59:41.038579+00,2019-07-15 10:59:41.038579+00
"[''japan'', ''taiwan'']","",2019-07-15 11:01:00.129329+00,2019-07-15 11:01:00.129329+00
"[''united states'', ''netherlands'', ''italy'', ''japan'', ''united kingdom'', ''belgium'', ''russia'', ''indonesia'', ''germany'', ''switzerland'', ''china'']","",2019-07-15 11:01:15.550157+00,2019-07-15 11:01:15.550157+00
"[''india'', ''saudi arabia'', ''vietnam'', ''myanmar'', ''singapore'', ''thailand'', ''malaysia'', ''cambodia'', ''china'', ''philippines'', ''south korea'', ''united states'', ''indonesia'', ''laos'']","",2019-07-15 11:01:31.022476+00,2019-07-15 11:01:31.022476+00
"[''japan'', ''philippines'', ''hong kong'', ''indonesia'', ''taiwan'', ''vietnam'']","",2019-07-15 11:01:41.481191+00,2019-07-15 11:01:41.481191+00
"[''u.s. government/defense sector websites'', ''saudi arabia'', ''israel'', ''iraq'', ''united kingdom'']","",2019-07-15 11:02:03.389419+00,2019-07-15 11:02:03.389419+00
"[''canada'', ''france'', ''israel'', ''mexico'', ''saudi arabia'', ''china'', ''germany'', ''united states'', ''pakistan'', ''south korea'', ''united kingdom'', ''india'', ''kuwait'', ''qatar'', ''turkey'']","",2019-07-15 11:02:38.002343+00,2019-07-15 11:02:38.002343+00
"[''united states'', ''china'', ''new zealand'', ''ukraine'', ''romania'', ''georgia'', ''japan'', ''south korea'', ''belgium'', ''kazakhstan'', ''brazil'', ''mexico'', ''turkey'', ''portugal'', ''india'']","",2019-07-15 11:03:20.237719+00,2019-07-15 11:03:20.237719+00
