cve,year,affected_products,created,last_update
CVE-2011-3544,2011,,2019-07-12 13:48:13.933626+00,2019-07-12 13:48:13.933626+00
CVE-2009-4324,2009,,2019-07-12 13:48:13.969862+00,2019-07-12 13:48:13.969862+00
CVE-2013-0422,2013,,2019-07-12 13:48:13.985881+00,2019-07-12 13:48:13.985881+00
CVE-2012-0158,2012,,2019-07-12 13:48:14.003172+00,2019-07-12 13:48:14.003172+00
CVE-2010-3333,2010,,2019-07-12 13:48:14.019834+00,2019-07-12 13:48:14.019834+00
CVE-2012-4681,2012,,2019-07-12 13:49:39.30384+00,2019-07-12 13:49:39.30384+00
CVE-2013-3918,2013,,2019-07-12 13:49:39.31037+00,2019-07-12 13:49:39.31037+00
CVE-2012-1723,2012,,2019-07-12 13:49:39.352281+00,2019-07-12 13:49:39.352281+00
CVE-2013-3894,2013,,2019-07-12 13:49:39.372577+00,2019-07-12 13:49:39.372577+00
CVE-2012-0159,2012,,2019-07-12 13:49:39.389318+00,2019-07-12 13:49:39.389318+00
CVE-2010-2568,2010,,2019-07-12 13:49:39.405871+00,2019-07-12 13:49:39.405871+00
CVE-2013-7331,2013,,2019-07-12 16:53:37.543292+00,2019-07-12 16:53:37.543292+00
CVE-2015-2545,2015,,2019-07-12 16:53:37.553299+00,2019-07-12 16:53:37.553299+00
CVE-2015-2546,2015,,2019-07-12 16:53:37.573296+00,2019-07-12 16:53:37.573296+00
CVE-2012-4792,2012,,2019-07-12 16:59:25.489887+00,2019-07-12 16:59:25.489887+00
CVE-2014-0322,2014,,2019-07-12 16:59:25.49499+00,2019-07-12 16:59:25.49499+00
CVE-2013-0641,2013,,2019-07-12 17:01:38.349905+00,2019-07-12 17:01:38.349905+00
CVE-2013-0640,2013,,2019-07-12 17:01:38.359336+00,2019-07-12 17:01:38.359336+00
CVE-2010-0232,2010,,2019-07-12 17:01:38.397102+00,2019-07-12 17:01:38.397102+00
CVE-2013-5065,2013,,2019-07-12 17:12:35.105648+00,2019-07-12 17:12:35.105648+00
CVE-2009-1125,2009,,2019-07-12 17:12:35.114759+00,2019-07-12 17:12:35.114759+00
CVE-2013-3346,2013,,2019-07-12 17:12:35.133285+00,2019-07-12 17:12:35.133285+00
CVE-2008-3431,2008,,2019-07-12 17:12:35.149942+00,2019-07-12 17:12:35.149942+00
CVE-2012-1856,2012,,2019-07-12 17:14:09.52694+00,2019-07-12 17:14:09.52694+00
CVE-2011-1255,2011,,2019-07-12 17:15:23.509656+00,2019-07-12 17:15:23.509656+00
CVE-2011-0611,2011,,2019-07-12 17:15:23.524153+00,2019-07-12 17:15:23.524153+00
CVE-2014-8439,2014,,2019-07-12 17:17:17.816169+00,2019-07-12 17:17:17.816169+00
CVE-2017-0199,2017,,2019-07-12 17:17:17.824937+00,2019-07-12 17:17:17.824937+00
CVE-2015-7645,2015,,2019-07-12 17:17:17.857232+00,2019-07-12 17:17:17.857232+00
CVE-2016-4117,2016,,2019-07-12 17:17:17.874839+00,2019-07-12 17:17:17.874839+00
CVE-2015-3105,2015,,2019-07-12 17:17:17.891479+00,2019-07-12 17:17:17.891479+00
CVE-2016-1019,2016,,2019-07-12 17:17:17.908129+00,2019-07-12 17:17:17.908129+00
CVE-2013-4979,2013,,2019-07-12 17:17:17.924828+00,2019-07-12 17:17:17.924828+00
CVE-2015-5119,2015,,2019-07-12 17:17:17.941468+00,2019-07-12 17:17:17.941468+00
CVE-2018-0802,2018,,2019-07-12 17:17:17.958109+00,2019-07-12 17:17:17.958109+00
CVE-2015-2419,2015,,2019-07-12 17:17:17.98311+00,2019-07-12 17:17:17.98311+00
CVE-2015-3043,2015,,2019-07-12 17:17:17.999765+00,2019-07-12 17:17:17.999765+00
CVE-2015-5122,2015,,2019-07-12 17:17:18.040615+00,2019-07-12 17:17:18.040615+00
CVE-2018-4878,2018,,2019-07-12 17:17:18.065578+00,2019-07-12 17:17:18.065578+00
CVE-2015-2387,2015,,2019-07-12 17:17:18.099821+00,2019-07-12 17:17:18.099821+00
CVE-2013-3660,2013,,2019-07-12 17:18:45.165887+00,2019-07-12 17:18:45.165887+00
CVE-2013-3906,2013,,2019-07-12 17:18:45.187184+00,2019-07-12 17:18:45.187184+00
CVE-2010-4398,2010,,2019-07-12 17:22:07.041709+00,2019-07-12 17:22:07.041709+00
CVE-2011-2005,2011,,2019-07-12 17:22:07.049069+00,2019-07-12 17:22:07.049069+00
CVE-2018-8174,2018,,2019-07-12 17:25:05.86931+00,2019-07-12 17:25:05.86931+00
CVE-2017-11882,2017,,2019-07-12 17:25:05.874286+00,2019-07-12 17:25:05.874286+00
CVE-2017-8570,2017,,2019-07-12 17:25:05.932756+00,2019-07-12 17:25:05.932756+00
CVE-2015-1641,2015,,2019-07-12 17:25:27.343526+00,2019-07-12 17:25:27.343526+00
CVE-2010-0188,2010,,2019-07-12 17:26:40.369282+00,2019-07-12 17:26:40.369282+00
CVE-2014-0497,2014,,2019-07-12 17:26:40.376907+00,2019-07-12 17:26:40.376907+00
CVE-2013-2465,2013,,2019-07-12 17:27:26.324118+00,2019-07-12 17:27:26.324118+00
CVE-2013-1347,2013,,2019-07-12 17:27:26.348381+00,2019-07-12 17:27:26.348381+00
CVE-2012-0779,2012,,2019-07-12 17:29:00.663444+00,2019-07-12 17:29:00.663444+00
CVE-2012-1535,2012,,2019-07-12 17:29:00.687181+00,2019-07-12 17:29:00.687181+00
CVE-2011-2110,2011,,2019-07-12 17:29:00.712139+00,2019-07-12 17:29:00.712139+00
CVE-2010-0249,2010,,2019-07-12 17:29:00.787082+00,2019-07-12 17:29:00.787082+00
CVE-2011-0609,2011,,2019-07-12 17:29:00.812146+00,2019-07-12 17:29:00.812146+00
CVE-2012-1889,2012,,2019-07-12 17:29:00.836946+00,2019-07-12 17:29:00.836946+00
CVE-2012-1875,2012,,2019-07-12 17:29:00.862184+00,2019-07-12 17:29:00.862184+00
CVE-2016-7255,2016,,2019-07-12 17:29:51.471539+00,2019-07-12 17:29:51.471539+00
CVE-2015-2424,2015,,2019-07-12 17:29:51.523962+00,2019-07-12 17:29:51.523962+00
CVE-2016-7855,2016,,2019-07-12 17:29:51.544413+00,2019-07-12 17:29:51.544413+00
CVE-2015-1701,2015,,2019-07-12 17:29:51.565569+00,2019-07-12 17:29:51.565569+00
CVE-2015-2590,2015,,2019-07-12 17:29:51.582306+00,2019-07-12 17:29:51.582306+00
CVE-2010-2883,2010,,2019-07-12 17:31:56.560467+00,2019-07-12 17:31:56.560467+00
CVE-2013-1493,2013,,2019-07-15 11:10:09.735169+00,2019-07-15 11:10:09.735169+00
CVE-2013-0634,2013,,2019-07-15 11:10:09.774852+00,2019-07-15 11:10:09.774852+00
CVE-2015-17012,2015,,2019-07-15 11:14:43.371806+00,2019-07-15 11:14:43.371806+00
CVE-2015-17013,2015,,2019-07-15 11:14:43.387652+00,2019-07-15 11:14:43.387652+00
CVE-2018-11776,2018,,2019-07-15 11:15:25.604746+00,2019-07-15 11:15:25.604746+00
CVE-2018-15961,2018,,2019-07-15 11:15:25.613922+00,2019-07-15 11:15:25.613922+00
CVE-2016-0167,2016,,2019-07-15 11:15:39.904799+00,2019-07-15 11:15:39.904799+00
CVE-2015-5374,2015,,2019-07-15 11:16:06.412078+00,2019-07-15 11:16:06.412078+00
CVE-2016-5195,2016,,2019-07-15 11:18:45.621959+00,2019-07-15 11:18:45.621959+00
CVE-2017-5638,2017,,2019-07-15 11:18:45.636651+00,2019-07-15 11:18:45.636651+00
CVE-2018-8406,2018,,2019-07-15 11:21:12.402716+00,2019-07-15 11:21:12.402716+00
CVE-2018-8405,2018,,2019-07-15 11:21:12.433059+00,2019-07-15 11:21:12.433059+00
CVE-2017-0262,2017,,2019-07-15 11:25:54.856662+00,2019-07-15 11:25:54.856662+00
CVE-2017-0144,2017,,2019-07-15 11:25:54.869389+00,2019-07-15 11:25:54.869389+00
CVE-2017-8759,2017,,2019-07-15 11:25:54.965431+00,2019-07-15 11:25:54.965431+00
CVE-2015-2360,2015,,2019-07-15 11:35:57.438253+00,2019-07-15 11:35:57.438253+00
CVE-2014-4113,2014,,2019-07-15 11:45:45.512614+00,2019-07-15 11:45:45.512614+00
CVE-2014-4114,2014,,2019-07-15 11:46:09.482273+00,2019-07-15 11:46:09.482273+00
CVE-2014-1761,2014,,2019-07-15 11:46:15.42492+00,2019-07-15 11:46:15.42492+00
CVE-2014-4148,2014,,2019-07-15 11:47:42.113422+00,2019-07-15 11:47:42.113422+00
CVE-2011-3402,2011,,2019-07-15 11:47:42.151197+00,2019-07-15 11:47:42.151197+00
CVE-2014-6324,2014,,2019-07-15 11:47:42.173279+00,2019-07-15 11:47:42.173279+00
CVE-2014-6332,2014,,2019-07-15 11:50:32.861869+00,2019-07-15 11:50:32.861869+00
CVE-2014-0502,2014,,2019-07-15 11:50:32.890007+00,2019-07-15 11:50:32.890007+00
CVE-2012-2539,2012,,2019-07-15 11:51:53.002772+00,2019-07-15 11:51:53.002772+00
CVE-2012-5054,2012,,2019-07-15 11:53:21.501524+00,2019-07-15 11:53:21.501524+00
CVE-2010-2572,2010,,2019-07-15 11:53:41.620945+00,2019-07-15 11:53:41.620945+00
CVE-2013-3163,2013,,2019-07-15 11:54:21.764421+00,2019-07-15 11:54:21.764421+00
CVE-2013-3893,2013,,2019-07-15 11:55:01.542259+00,2019-07-15 11:55:01.542259+00
CVE-2010-0806,2010,,2019-07-15 11:56:03.343018+00,2019-07-15 11:56:03.343018+00
CVE-2010-1297,2010,,2019-07-15 11:56:03.359178+00,2019-07-15 11:56:03.359178+00
CVE-2010-2884,2010,,2019-07-15 11:56:03.38417+00,2019-07-15 11:56:03.38417+00
CVE-2013-1488201,2013,,2019-07-15 11:57:12.009691+00,2019-07-15 11:57:12.009691+00
CVE-2013-0431,2013,,2019-07-15 11:57:12.04067+00,2019-07-15 11:57:12.04067+00
CVE-2013-1347201,2013,,2019-07-15 11:57:12.057167+00,2019-07-15 11:57:12.057167+00
CVE-2012-5076201,2012,,2019-07-15 11:57:12.073812+00,2019-07-15 11:57:12.073812+00
CVE-2012-3174,2012,,2019-07-15 11:57:12.090597+00,2019-07-15 11:57:12.090597+00
CVE-2012-1723201,2012,,2019-07-15 11:57:12.157108+00,2019-07-15 11:57:12.157108+00
CVE-2012-4681201,2012,,2019-07-15 11:57:12.181346+00,2019-07-15 11:57:12.181346+00
CVE-2013-2423,2013,,2019-07-15 11:57:12.199036+00,2019-07-15 11:57:12.199036+00
CVE-2013-2423201,2013,,2019-07-15 11:57:12.248967+00,2019-07-15 11:57:12.248967+00
CVE-2013-1690,2013,,2019-07-15 11:57:12.265484+00,2019-07-15 11:57:12.265484+00
CVE-2012-5076,2012,,2019-07-15 11:57:12.298924+00,2019-07-15 11:57:12.298924+00
CVE-2013-2465201,2013,,2019-07-15 11:57:12.31546+00,2019-07-15 11:57:12.31546+00
CVE-2013-0422201,2013,,2019-07-15 11:57:12.332119+00,2019-07-15 11:57:12.332119+00
CVE-2010-2883201,2010,,2019-07-15 11:57:12.34891+00,2019-07-15 11:57:12.34891+00
CVE-2013-1488,2013,,2019-07-15 11:57:12.395307+00,2019-07-15 11:57:12.395307+00
CVE-2014-1776,2014,,2019-07-15 11:58:09.489799+00,2019-07-15 11:58:09.489799+00
CVE-2010-3962,2010,,2019-07-15 11:58:09.499659+00,2019-07-15 11:58:09.499659+00
CVE-2012-2543,2012,,2019-07-15 12:00:29.708795+00,2019-07-15 12:00:29.708795+00
CVE-2009-3129,2009,,2019-07-15 12:05:16.917048+00,2019-07-15 12:05:16.917048+00
CVE-2009-1129,2009,,2019-07-15 12:05:36.874537+00,2019-07-15 12:05:36.874537+00
CVE-2011-2100,2011,,2019-07-15 12:05:36.897816+00,2019-07-15 12:05:36.897816+00
CVE-2009-0927,2009,,2019-07-15 12:08:36.131999+00,2019-07-15 12:08:36.131999+00
