keyword,is_alias,apt_name,created,last_update
pittytiger,t,pittytiger,2019-03-20 15:17:31.850595+01,2019-03-20 15:17:31.850595+01
taidoor,t,taidoor,2019-03-20 15:18:40.412396+01,2019-03-20 15:18:40.412396+01
apt33,t,apt33,2019-03-20 15:19:14.849903+01,2019-03-20 15:19:14.849903+01
leviathan,t,leviathan,2019-03-20 15:19:53.299209+01,2019-03-20 15:19:53.299209+01
temp.periscope,t,leviathan,2019-03-20 15:19:53.30889+01,2019-03-20 15:19:53.30889+01
tempperiscope,t,leviathan,2019-03-20 15:19:53.30889+01,2019-03-20 15:19:53.30889+01
naikon,t,naikon,2019-03-20 15:20:41.161472+01,2019-03-20 15:20:41.161472+01
equation,t,equation,2019-03-20 15:20:56.013239+01,2019-03-20 15:20:56.013239+01
lazarusgroup,t,lazarusgroup,2019-03-20 15:21:05.593476+01,2019-03-20 15:21:05.593476+01
lazarus group,t,lazarusgroup,2019-03-20 15:21:05.593476+01,2019-03-20 15:21:05.593476+01
hidden cobra,t,lazarusgroup,2019-03-20 15:21:05.598537+01,2019-03-20 15:21:05.598537+01
hiddencobra,t,lazarusgroup,2019-03-20 15:21:05.598537+01,2019-03-20 15:21:05.598537+01
guardians of peace,t,lazarusgroup,2019-03-20 15:21:05.598537+01,2019-03-20 15:21:05.598537+01
guardiansofpeace,t,lazarusgroup,2019-03-20 15:21:05.598537+01,2019-03-20 15:21:05.598537+01
zinc,t,lazarusgroup,2019-03-20 15:21:05.598537+01,2019-03-20 15:21:05.598537+01
nickel academy,t,lazarusgroup,2019-03-20 15:21:05.598537+01,2019-03-20 15:21:05.598537+01
nickelacademy,t,lazarusgroup,2019-03-20 15:21:05.598537+01,2019-03-20 15:21:05.598537+01
leafminer,t,leafminer,2019-03-20 15:21:27.042954+01,2019-03-20 15:21:27.042954+01
thrip,t,thrip,2019-03-20 15:21:35.509506+01,2019-03-20 15:21:35.509506+01
cleaver,t,cleaver,2019-03-20 15:21:41.855736+01,2019-03-20 15:21:41.855736+01
threat group 2889,t,cleaver,2019-03-20 15:21:41.860618+01,2019-03-20 15:21:41.860618+01
threatgroup2889,t,cleaver,2019-03-20 15:21:41.860618+01,2019-03-20 15:21:41.860618+01
tg-2889,t,cleaver,2019-03-20 15:21:41.860618+01,2019-03-20 15:21:41.860618+01
tg2889,t,cleaver,2019-03-20 15:21:41.860618+01,2019-03-20 15:21:41.860618+01
ke3chang,t,ke3chang,2019-03-20 15:22:03.143551+01,2019-03-20 15:22:03.143551+01
apt15,t,ke3chang,2019-03-20 15:22:03.147935+01,2019-03-20 15:22:03.147935+01
mirage,t,ke3chang,2019-03-20 15:22:03.147935+01,2019-03-20 15:22:03.147935+01
vixen panda,t,ke3chang,2019-03-20 15:22:03.147935+01,2019-03-20 15:22:03.147935+01
