report_id,hash,url,description,source,created,last_update
1127,c43cf8c2aa72e3184c03fb96d8d3370305a5d182,https://attack.mitre.org/groups/g0062,"[ta459](https://attack.mitre.org/groups/g0062) is a threat group believed to operate out of china that has targeted countries including russia, belarus, mongolia, and others. (citation: proofpoint ta459 april 2017)",mitre,2019-07-12 13:46:24.549525+00,2019-07-12 13:46:24.549525+00
1128,6abddf9615aeec348d286b51b59cae9aef4bf767,https://attack.mitre.org/groups/g0077,[leafminer](https://attack.mitre.org/groups/g0077) is an iranian threat group that has targeted government organizations and business entities in the middle east since at least early 2017. (citation: symantec leafminer july 2018),mitre,2019-07-12 13:46:49.09296+00,2019-07-12 13:46:49.09296+00
1129,3bb8e1893402761c5585a4a836c2fa6faf54b562,https://attack.mitre.org/groups/g0081,"[tropic trooper](https://attack.mitre.org/groups/g0081) is an unaffiliated threat group that has led targeted campaigns against targets in taiwan, the philippines, and hong kong. [tropic trooper](https://attack.mitre.org/groups/g0081) focuses on targeting government, healthcare, transportation, and high-tech industries and has been active since 2011.(citation: trendmicro tropic trooper mar 2018)(citation: unit 42 tropic trooper nov 2016)",mitre,2019-07-12 13:47:11.737795+00,2019-07-12 13:47:11.737795+00
1130,8a806bcf791960a7140309bb870d5f894a66660b,https://attack.mitre.org/groups/g0064,"[apt33](https://attack.mitre.org/groups/g0064) is a suspected iranian threat group that has carried out operations since at least 2013. the group has targeted organizations across multiple industries in the united states, saudi arabia, and south korea, with a particular interest in the aviation and energy sectors. (citation: fireeye apt33 sept 2017) (citation: fireeye apt33 webinar sept 2017)",mitre,2019-07-12 13:47:35.049266+00,2019-07-12 13:47:35.049266+00
1131,f5a2f1d0169ba8affb4928ff7f3b0108164c4962,https://attack.mitre.org/groups/g0045,"[menupass](https://attack.mitre.org/groups/g0045) is a threat group that appears to originate from china and has been active since approximately 2009. the group has targeted healthcare, defense, aerospace, and government sectors, and has targeted japanese victims since at least 2014. in 2016 and 2017, the group targeted managed it service providers, manufacturing and mining companies, and a university. (citation: palo alto menupass feb 2017) (citation: crowdstrike crowdcast oct 2013) (citation: fireeye poison ivy) (citation: pwc cloud hopper april 2017) (citation: fireeye apt10 april 2017) (citation: doj apt10 dec 2018)",mitre,2019-07-12 13:47:57.160174+00,2019-07-12 13:47:57.160174+00
1132,305b8cf079dc4959d906886fea5ca527d2f896a9,https://www.fireeye.com/content/dam/fireeye-www/global/en/current-threats/pdfs/rpt-poison-ivy.pdf,"[menupass](https://attack.mitre.org/groups/g0045) is a threat group that appears to originate from china and has been active since approximately 2009. the group has targeted healthcare, defense, aerospace, and government sectors, and has targeted japanese victims since at least 2014. in 2016 and 2017, the group targeted managed it service providers, manufacturing and mining companies, and a university. (citation: palo alto menupass feb 2017) (citation: crowdstrike crowdcast oct 2013) (citation: fireeye poison ivy) (citation: pwc cloud hopper april 2017) (citation: fireeye apt10 april 2017) (citation: doj apt10 dec 2018)",mitre_external_reference,2019-07-12 13:48:12.723394+00,2019-07-12 13:48:12.723394+00
1133,21fa3482e808cc32ef762131560c8889b1bb641e,https://www.pwc.co.uk/cyber-security/pdf/cloud-hopper-report-final-v4.pdf,"[menupass](https://attack.mitre.org/groups/g0045) is a threat group that appears to originate from china and has been active since approximately 2009. the group has targeted healthcare, defense, aerospace, and government sectors, and has targeted japanese victims since at least 2014. in 2016 and 2017, the group targeted managed it service providers, manufacturing and mining companies, and a university. (citation: palo alto menupass feb 2017) (citation: crowdstrike crowdcast oct 2013) (citation: fireeye poison ivy) (citation: pwc cloud hopper april 2017) (citation: fireeye apt10 april 2017) (citation: doj apt10 dec 2018)",mitre_external_reference,2019-07-12 13:48:15.807541+00,2019-07-12 13:48:15.807541+00
1134,ca851ce01b6f9c123af07bd5c41d267b5f0c49ce,https://www.accenture.com/t20180423t055005z_w_/se-en/_acnmedia/pdf-76/accenture-hogfish-threat-analysis.pdf,"[menupass](https://attack.mitre.org/groups/g0045) is a threat group that appears to originate from china and has been active since approximately 2009. the group has targeted healthcare, defense, aerospace, and government sectors, and has targeted japanese victims since at least 2014. in 2016 and 2017, the group targeted managed it service providers, manufacturing and mining companies, and a university. (citation: palo alto menupass feb 2017) (citation: crowdstrike crowdcast oct 2013) (citation: fireeye poison ivy) (citation: pwc cloud hopper april 2017) (citation: fireeye apt10 april 2017) (citation: doj apt10 dec 2018)",mitre_external_reference,2019-07-12 13:49:17.279151+00,2019-07-12 13:49:17.279151+00
1135,4953e29f31c801180c8e64e115403b346fac6e2e,https://attack.mitre.org/groups/g0020,[equation](https://attack.mitre.org/groups/g0020) is a sophisticated threat group that employs multiple remote access tools. the group is known to use zero-day exploits and has developed the capability to overwrite the firmware of hard disk drives. (citation: kaspersky equation qa),mitre,2019-07-12 13:49:27.915427+00,2019-07-12 13:49:27.915427+00
1136,41aa5bd1ed03d80650a89de3649d051f900b958b,https://media.kasperskycontenthub.com/wp-content/uploads/sites/43/2018/03/08064459/equation_group_questions_and_answers.pdf,[equation](https://attack.mitre.org/groups/g0020) is a sophisticated threat group that employs multiple remote access tools. the group is known to use zero-day exploits and has developed the capability to overwrite the firmware of hard disk drives. (citation: kaspersky equation qa),mitre_external_reference,2019-07-12 13:49:38.261684+00,2019-07-12 13:49:38.261684+00
1137,6d21f702d439b87769a98b9471d45ca3698a6dfa,https://attack.mitre.org/groups/g0003,[cleaver](https://attack.mitre.org/groups/g0003) is a threat group that has been attributed to iranian actors and is responsible for activity tracked as operation cleaver. (citation: cylance cleaver) strong circumstantial evidence suggests cleaver is linked to threat group 2889 (tg-2889). (citation: dell threat group 2889),mitre,2019-07-12 13:49:48.825389+00,2019-07-12 13:49:48.825389+00
1138,79ad3f3f5b1c45fc5792c93d33d687599f236111,https://attack.mitre.org/groups/g0038,"[stealth falcon](https://attack.mitre.org/groups/g0038) is a threat group that has conducted targeted spyware attacks against emirati journalists, activists, and dissidents since at least 2012. circumstantial evidence suggests there could be a link between this group and the united arab emirates (uae) government, but that has not been confirmed. (citation: citizen lab stealth falcon may 2016)",mitre,2019-07-12 16:53:06.090146+00,2019-07-12 16:53:06.090146+00
1139,0b30a616e6bb8c1617c83aa38ae9d999d5113fab,https://attack.mitre.org/groups/g0068,[platinum](https://attack.mitre.org/groups/g0068) is an activity group that has targeted victims since at least 2009. the group has focused on targets associated with governments and related organizations in south and southeast asia. (citation: microsoft platinum april 2016),mitre,2019-07-12 16:53:25.49799+00,2019-07-12 16:53:25.49799+00
1140,ffe1ab81dc16f38930659c5ec9f6f8f9ebdf7d35,https://download.microsoft.com/download/2/2/5/225bfe3e-e1de-4f5b-a77b-71200928d209/platinum%20feature%20article%20-%20targeted%20attacks%20in%20south%20and%20southeast%20asia%20april%202016.pdf,[platinum](https://attack.mitre.org/groups/g0068) is an activity group that has targeted victims since at least 2009. the group has focused on targets associated with governments and related organizations in south and southeast asia. (citation: microsoft platinum april 2016),mitre_external_reference,2019-07-12 16:53:35.549402+00,2019-07-12 16:53:35.549402+00
