report_id,hash,url,description,source,created,last_update
4731,472a3faf8208eeee7c0eba810b1db5e388cb3ce4,https://attack.mitre.org/groups/g0011,[pittytiger](https://attack.mitre.org/groups/g0011) is a threat group believed to operate out of china that uses multiple different types of malware to maintain command and control. (citation: bizeul 2014) (citation: villeneuve 2014),mitre,2019-03-20 15:17:31.850595+01,2019-03-20 15:17:31.850595+01
4732,1f99336ae292fd9dd6ef46d745a91678aa9da932,https://attack.mitre.org/groups/g0015,[taidoor](https://attack.mitre.org/groups/g0015) is a threat group that has operated since at least 2009 and has primarily targeted the taiwanese government. (citation: trendmicro taidoor),mitre,2019-03-20 15:18:40.412396+01,2019-03-20 15:18:40.412396+01
4733,304a69674b714f7278580017727acce93fcd1794,https://attack.mitre.org/groups/g0064,"[apt33](https://attack.mitre.org/groups/g0064) is a suspected iranian threat group that has carried out operations since at least 2013. the group has targeted organizations across multiple industries in the united states, saudi arabia, and south korea, with a particular interest in the aviation and energy sectors. (citation: fireeye apt33 sept 2017) (citation: fireeye apt33 webinar sept 2017)",mitre,2019-03-20 15:19:14.849903+01,2019-03-20 15:19:14.849903+01
4734,ab519fcf83ed25667281510c5f766e2009af34f9,https://attack.mitre.org/groups/g0065,"[leviathan](https://attack.mitre.org/groups/g0065) is a cyber espionage group that has been active since at least 2013. the group generally targets defense and government organizations, but has also targeted a range of industries including engineering firms, shipping and transportation, manufacturing, defense, government offices, and research universities in the united states, western europe, and along the south china sea. (citation: proofpoint leviathan oct 2017) (citation: fireeye periscope march 2018)",mitre,2019-03-20 15:19:53.299209+01,2019-03-20 15:19:53.299209+01
4735,0fee3a536209bcdfba7468556f2588ff103484c2,https://attack.mitre.org/groups/g0019,"[naikon](https://attack.mitre.org/groups/g0019) is a threat group that has focused on targets around the south china sea. (citation: baumgartner naikon 2015) the group has been attributed to the chinese people’s liberation army’s (pla) chengdu military region second technical reconnaissance bureau (military unit cover designator 78020). (citation: camerashy) while [naikon](https://attack.mitre.org/groups/g0019) shares some characteristics with [apt30](https://attack.mitre.org/groups/g0013), the two groups do not appear to be exact matches. (citation: baumgartner golovkin naikon 2015)",mitre,2019-03-20 15:20:41.161472+01,2019-03-20 15:20:41.161472+01
4736,86a37871be5ca0059d269607a442d9a401f011ea,https://securelist.com/files/2015/05/thenaikonapt-msnmm1.pdf,"[naikon](https://attack.mitre.org/groups/g0019) is a threat group that has focused on targets around the south china sea. (citation: baumgartner naikon 2015) the group has been attributed to the chinese people’s liberation army’s (pla) chengdu military region second technical reconnaissance bureau (military unit cover designator 78020). (citation: camerashy) while [naikon](https://attack.mitre.org/groups/g0019) shares some characteristics with [apt30](https://attack.mitre.org/groups/g0013), the two groups do not appear to be exact matches. (citation: baumgartner golovkin naikon 2015)",mitre_external_reference,2019-03-20 15:20:47.893153+01,2019-03-20 15:20:47.893153+01
4737,dbd710751a6c32ba91401fb5e5623f46b4d2475f,http://cdn2.hubspot.net/hubfs/454298/project_camerashy_threatconnect_copyright_2015.pdf,"[naikon](https://attack.mitre.org/groups/g0019) is a threat group that has focused on targets around the south china sea. (citation: baumgartner naikon 2015) the group has been attributed to the chinese people’s liberation army’s (pla) chengdu military region second technical reconnaissance bureau (military unit cover designator 78020). (citation: camerashy) while [naikon](https://attack.mitre.org/groups/g0019) shares some characteristics with [apt30](https://attack.mitre.org/groups/g0013), the two groups do not appear to be exact matches. (citation: baumgartner golovkin naikon 2015)",mitre_external_reference,2019-03-20 15:20:47.957146+01,2019-03-20 15:20:47.957146+01
4738,f2641fbf5a494bd9232966bc08dd2b471dd13195,https://securelist.com/the-naikon-apt/69953/,"[naikon](https://attack.mitre.org/groups/g0019) is a threat group that has focused on targets around the south china sea. (citation: baumgartner naikon 2015) the group has been attributed to the chinese people’s liberation army’s (pla) chengdu military region second technical reconnaissance bureau (military unit cover designator 78020). (citation: camerashy) while [naikon](https://attack.mitre.org/groups/g0019) shares some characteristics with [apt30](https://attack.mitre.org/groups/g0013), the two groups do not appear to be exact matches. (citation: baumgartner golovkin naikon 2015)",mitre_external_reference,2019-03-20 15:20:55.911133+01,2019-03-20 15:20:55.911133+01
4739,511024302b0db147054ef2d58bc41b86ae6b67ec,https://attack.mitre.org/groups/g0020,[equation](https://attack.mitre.org/groups/g0020) is a sophisticated threat group that employs multiple remote access tools. the group is known to use zero-day exploits and has developed the capability to overwrite the firmware of hard disk drives. (citation: kaspersky equation qa),mitre,2019-03-20 15:20:56.013239+01,2019-03-20 15:20:56.013239+01
4740,41aa5bd1ed03d80650a89de3649d051f900b958b,https://media.kasperskycontenthub.com/wp-content/uploads/sites/43/2018/03/08064459/equation_group_questions_and_answers.pdf,[equation](https://attack.mitre.org/groups/g0020) is a sophisticated threat group that employs multiple remote access tools. the group is known to use zero-day exploits and has developed the capability to overwrite the firmware of hard disk drives. (citation: kaspersky equation qa),mitre_external_reference,2019-03-20 15:21:04.800271+01,2019-03-20 15:21:04.800271+01
