report_id,cve,created,last_update
1132,CVE-2011-3544,2019-07-12 13:48:13.969862+00,2019-07-12 13:48:13.969862+00
1132,CVE-2009-4324,2019-07-12 13:48:13.985881+00,2019-07-12 13:48:13.985881+00
1132,CVE-2013-0422,2019-07-12 13:48:14.003172+00,2019-07-12 13:48:14.003172+00
1132,CVE-2012-0158,2019-07-12 13:48:14.019834+00,2019-07-12 13:48:14.019834+00
1132,CVE-2010-3333,2019-07-12 13:48:14.032389+00,2019-07-12 13:48:14.032389+00
1136,CVE-2012-4681,2019-07-12 13:49:39.31037+00,2019-07-12 13:49:39.31037+00
1136,CVE-2013-3918,2019-07-12 13:49:39.352281+00,2019-07-12 13:49:39.352281+00
1136,CVE-2012-1723,2019-07-12 13:49:39.372577+00,2019-07-12 13:49:39.372577+00
1136,CVE-2013-3894,2019-07-12 13:49:39.389318+00,2019-07-12 13:49:39.389318+00
1136,CVE-2012-0159,2019-07-12 13:49:39.405871+00,2019-07-12 13:49:39.405871+00
1136,CVE-2010-2568,2019-07-12 13:49:39.422534+00,2019-07-12 13:49:39.422534+00
1140,CVE-2013-7331,2019-07-12 16:53:37.553299+00,2019-07-12 16:53:37.553299+00
1140,CVE-2015-2545,2019-07-12 16:53:37.573296+00,2019-07-12 16:53:37.573296+00
1140,CVE-2015-2546,2019-07-12 16:53:37.589935+00,2019-07-12 16:53:37.589935+00
1151,CVE-2012-0158,2019-07-12 16:58:17.521699+00,2019-07-12 16:58:17.521699+00
1155,CVE-2012-4792,2019-07-12 16:59:25.49499+00,2019-07-12 16:59:25.49499+00
1155,CVE-2014-0322,2019-07-12 16:59:25.511643+00,2019-07-12 16:59:25.511643+00
1165,CVE-2013-0641,2019-07-12 17:01:38.359336+00,2019-07-12 17:01:38.359336+00
1165,CVE-2013-0640,2019-07-12 17:01:38.397102+00,2019-07-12 17:01:38.397102+00
1165,CVE-2010-0232,2019-07-12 17:01:38.41557+00,2019-07-12 17:01:38.41557+00
1194,CVE-2013-5065,2019-07-12 17:12:35.114759+00,2019-07-12 17:12:35.114759+00
1194,CVE-2009-1125,2019-07-12 17:12:35.133285+00,2019-07-12 17:12:35.133285+00
1194,CVE-2013-3346,2019-07-12 17:12:35.149942+00,2019-07-12 17:12:35.149942+00
1194,CVE-2008-3431,2019-07-12 17:12:35.173298+00,2019-07-12 17:12:35.173298+00
1194,CVE-2010-0232,2019-07-12 17:12:35.191675+00,2019-07-12 17:12:35.191675+00
1194,CVE-2012-1723,2019-07-12 17:12:35.208341+00,2019-07-12 17:12:35.208341+00
1201,CVE-2012-0158,2019-07-12 17:14:09.52694+00,2019-07-12 17:14:09.52694+00
1201,CVE-2012-1856,2019-07-12 17:14:09.540729+00,2019-07-12 17:14:09.540729+00
1202,CVE-2012-0158,2019-07-12 17:14:19.123807+00,2019-07-12 17:14:19.123807+00
1206,CVE-2014-0322,2019-07-12 17:15:23.509656+00,2019-07-12 17:15:23.509656+00
1206,CVE-2011-1255,2019-07-12 17:15:23.524153+00,2019-07-12 17:15:23.524153+00
1206,CVE-2011-0611,2019-07-12 17:15:23.540818+00,2019-07-12 17:15:23.540818+00
1208,CVE-2010-3333,2019-07-12 17:15:45.787569+00,2019-07-12 17:15:45.787569+00
1214,CVE-2014-8439,2019-07-12 17:17:17.824937+00,2019-07-12 17:17:17.824937+00
1214,CVE-2017-0199,2019-07-12 17:17:17.857232+00,2019-07-12 17:17:17.857232+00
1214,CVE-2015-7645,2019-07-12 17:17:17.874839+00,2019-07-12 17:17:17.874839+00
1214,CVE-2016-4117,2019-07-12 17:17:17.891479+00,2019-07-12 17:17:17.891479+00
1214,CVE-2015-3105,2019-07-12 17:17:17.908129+00,2019-07-12 17:17:17.908129+00
1214,CVE-2016-1019,2019-07-12 17:17:17.924828+00,2019-07-12 17:17:17.924828+00
1214,CVE-2013-4979,2019-07-12 17:17:17.941468+00,2019-07-12 17:17:17.941468+00
1214,CVE-2015-5119,2019-07-12 17:17:17.958109+00,2019-07-12 17:17:17.958109+00
1214,CVE-2018-0802,2019-07-12 17:17:17.98311+00,2019-07-12 17:17:17.98311+00
1214,CVE-2015-2419,2019-07-12 17:17:17.999765+00,2019-07-12 17:17:17.999765+00
1214,CVE-2015-3043,2019-07-12 17:17:18.016494+00,2019-07-12 17:17:18.016494+00
1214,CVE-2015-2545,2019-07-12 17:17:18.040615+00,2019-07-12 17:17:18.040615+00
1214,CVE-2015-5122,2019-07-12 17:17:18.065578+00,2019-07-12 17:17:18.065578+00
1214,CVE-2018-4878,2019-07-12 17:17:18.099821+00,2019-07-12 17:17:18.099821+00
1214,CVE-2015-2387,2019-07-12 17:17:18.116467+00,2019-07-12 17:17:18.116467+00
1221,CVE-2012-0158,2019-07-12 17:18:45.165887+00,2019-07-12 17:18:45.165887+00
1221,CVE-2013-3660,2019-07-12 17:18:45.187184+00,2019-07-12 17:18:45.187184+00
1221,CVE-2013-3906,2019-07-12 17:18:45.205018+00,2019-07-12 17:18:45.205018+00
1233,CVE-2010-4398,2019-07-12 17:22:07.049069+00,2019-07-12 17:22:07.049069+00
1233,CVE-2011-2005,2019-07-12 17:22:07.064837+00,2019-07-12 17:22:07.064837+00
1233,CVE-2013-3660,2019-07-12 17:22:07.082394+00,2019-07-12 17:22:07.082394+00
1244,CVE-2018-8174,2019-07-12 17:25:05.874286+00,2019-07-12 17:25:05.874286+00
1244,CVE-2017-11882,2019-07-12 17:25:05.904762+00,2019-07-12 17:25:05.904762+00
1244,CVE-2017-0199,2019-07-12 17:25:05.932756+00,2019-07-12 17:25:05.932756+00
1244,CVE-2017-8570,2019-07-12 17:25:05.963029+00,2019-07-12 17:25:05.963029+00
1245,CVE-2012-0158,2019-07-12 17:25:27.343526+00,2019-07-12 17:25:27.343526+00
1245,CVE-2015-1641,2019-07-12 17:25:27.362501+00,2019-07-12 17:25:27.362501+00
1245,CVE-2017-0199,2019-07-12 17:25:27.390511+00,2019-07-12 17:25:27.390511+00
1246,CVE-2016-4117,2019-07-12 17:25:28.974512+00,2019-07-12 17:25:28.974512+00
1246,CVE-2015-1641,2019-07-12 17:25:28.998593+00,2019-07-12 17:25:28.998593+00
1251,CVE-2010-0188,2019-07-12 17:26:40.376907+00,2019-07-12 17:26:40.376907+00
1251,CVE-2014-0497,2019-07-12 17:26:40.393556+00,2019-07-12 17:26:40.393556+00
1254,CVE-2012-4792,2019-07-12 17:27:26.324118+00,2019-07-12 17:27:26.324118+00
1254,CVE-2013-2465,2019-07-12 17:27:26.348381+00,2019-07-12 17:27:26.348381+00
1254,CVE-2013-1347,2019-07-12 17:27:26.366215+00,2019-07-12 17:27:26.366215+00
1254,CVE-2012-1723,2019-07-12 17:27:26.383004+00,2019-07-12 17:27:26.383004+00
1259,CVE-2012-0779,2019-07-12 17:29:00.687181+00,2019-07-12 17:29:00.687181+00
1259,CVE-2012-1535,2019-07-12 17:29:00.712139+00,2019-07-12 17:29:00.712139+00
1259,CVE-2011-2110,2019-07-12 17:29:00.762113+00,2019-07-12 17:29:00.762113+00
1259,CVE-2011-0611,2019-07-12 17:29:00.787082+00,2019-07-12 17:29:00.787082+00
1259,CVE-2010-0249,2019-07-12 17:29:00.812146+00,2019-07-12 17:29:00.812146+00
1259,CVE-2011-0609,2019-07-12 17:29:00.836946+00,2019-07-12 17:29:00.836946+00
1259,CVE-2012-1889,2019-07-12 17:29:00.862184+00,2019-07-12 17:29:00.862184+00
1259,CVE-2012-1875,2019-07-12 17:29:00.895549+00,2019-07-12 17:29:00.895549+00
1262,CVE-2016-7255,2019-07-12 17:29:51.479601+00,2019-07-12 17:29:51.479601+00
1262,CVE-2015-3043,2019-07-12 17:29:51.502821+00,2019-07-12 17:29:51.502821+00
1262,CVE-2015-5119,2019-07-12 17:29:51.523962+00,2019-07-12 17:29:51.523962+00
1262,CVE-2015-2424,2019-07-12 17:29:51.544413+00,2019-07-12 17:29:51.544413+00
1262,CVE-2016-7855,2019-07-12 17:29:51.565569+00,2019-07-12 17:29:51.565569+00
1262,CVE-2015-1701,2019-07-12 17:29:51.582306+00,2019-07-12 17:29:51.582306+00
1262,CVE-2015-2590,2019-07-12 17:29:51.602736+00,2019-07-12 17:29:51.602736+00
1268,CVE-2017-0199,2019-07-12 17:31:25.959455+00,2019-07-12 17:31:25.959455+00
1271,CVE-2010-3333,2019-07-12 17:31:56.560467+00,2019-07-12 17:31:56.560467+00
1271,CVE-2010-2883,2019-07-12 17:31:56.57137+00,2019-07-12 17:31:56.57137+00
1271,CVE-2012-4681,2019-07-12 17:31:56.588024+00,2019-07-12 17:31:56.588024+00
1285,CVE-2012-0158,2019-07-15 11:01:12.87678+00,2019-07-15 11:01:12.87678+00
1390,CVE-2012-1889,2019-07-15 11:10:09.735169+00,2019-07-15 11:10:09.735169+00
1390,CVE-2013-1493,2019-07-15 11:10:09.754263+00,2019-07-15 11:10:09.754263+00
1390,CVE-2012-1723,2019-07-15 11:10:09.774852+00,2019-07-15 11:10:09.774852+00
1390,CVE-2013-0634,2019-07-15 11:10:09.795932+00,2019-07-15 11:10:09.795932+00
1390,CVE-2012-0779,2019-07-15 11:10:09.81423+00,2019-07-15 11:10:09.81423+00
1390,CVE-2011-3544,2019-07-15 11:10:09.833018+00,2019-07-15 11:10:09.833018+00
1390,CVE-2012-1875,2019-07-15 11:10:09.849726+00,2019-07-15 11:10:09.849726+00
1427,CVE-2012-0158,2019-07-15 11:14:34.963328+00,2019-07-15 11:14:34.963328+00
1427,CVE-2010-3333,2019-07-15 11:14:34.986255+00,2019-07-15 11:14:34.986255+00
1428,CVE-2015-17012,2019-07-15 11:14:43.387652+00,2019-07-15 11:14:43.387652+00
1428,CVE-2015-17013,2019-07-15 11:14:43.412603+00,2019-07-15 11:14:43.412603+00
1428,CVE-2015-1701,2019-07-15 11:14:43.431447+00,2019-07-15 11:14:43.431447+00
1434,CVE-2018-11776,2019-07-15 11:15:25.613922+00,2019-07-15 11:15:25.613922+00
1434,CVE-2018-15961,2019-07-15 11:15:25.653102+00,2019-07-15 11:15:25.653102+00
1436,CVE-2016-0167,2019-07-15 11:15:39.914141+00,2019-07-15 11:15:39.914141+00
1441,CVE-2015-5374,2019-07-15 11:16:06.42227+00,2019-07-15 11:16:06.42227+00
1442,CVE-2015-5374,2019-07-15 11:16:07.653003+00,2019-07-15 11:16:07.653003+00
1446,CVE-2016-5195,2019-07-15 11:18:45.636651+00,2019-07-15 11:18:45.636651+00
1446,CVE-2017-5638,2019-07-15 11:18:45.688046+00,2019-07-15 11:18:45.688046+00
1458,CVE-2018-4878,2019-07-15 11:21:12.402716+00,2019-07-15 11:21:12.402716+00
1458,CVE-2018-8406,2019-07-15 11:21:12.433059+00,2019-07-15 11:21:12.433059+00
1458,CVE-2018-8405,2019-07-15 11:21:12.466307+00,2019-07-15 11:21:12.466307+00
1493,CVE-2017-0262,2019-07-15 11:25:54.869389+00,2019-07-15 11:25:54.869389+00
1493,CVE-2017-0144,2019-07-15 11:25:54.902764+00,2019-07-15 11:25:54.902764+00
1493,CVE-2017-11882,2019-07-15 11:25:54.93597+00,2019-07-15 11:25:54.93597+00
1493,CVE-2017-0199,2019-07-15 11:25:54.965431+00,2019-07-15 11:25:54.965431+00
1493,CVE-2017-8759,2019-07-15 11:25:54.996475+00,2019-07-15 11:25:54.996475+00
1544,CVE-2015-5374,2019-07-15 11:29:45.679452+00,2019-07-15 11:29:45.679452+00
1552,CVE-2015-5374,2019-07-15 11:30:49.907459+00,2019-07-15 11:30:49.907459+00
1617,CVE-2015-2360,2019-07-15 11:35:57.450707+00,2019-07-15 11:35:57.450707+00
1617,CVE-2012-0158,2019-07-15 11:35:57.475955+00,2019-07-15 11:35:57.475955+00
1617,CVE-2013-3918,2019-07-15 11:35:57.496681+00,2019-07-15 11:35:57.496681+00
1682,CVE-2011-1255,2019-07-15 11:41:56.382501+00,2019-07-15 11:41:56.382501+00
1682,CVE-2014-0322,2019-07-15 11:41:56.401594+00,2019-07-15 11:41:56.401594+00
1682,CVE-2011-0611,2019-07-15 11:41:56.418244+00,2019-07-15 11:41:56.418244+00
1708,CVE-2014-4113,2019-07-15 11:45:45.542216+00,2019-07-15 11:45:45.542216+00
1709,CVE-2015-2424,2019-07-15 11:46:09.482273+00,2019-07-15 11:46:09.482273+00
1709,CVE-2014-4114,2019-07-15 11:46:09.499908+00,2019-07-15 11:46:09.499908+00
1710,CVE-2014-4114,2019-07-15 11:46:15.42492+00,2019-07-15 11:46:15.42492+00
1710,CVE-2014-1761,2019-07-15 11:46:15.444627+00,2019-07-15 11:46:15.444627+00
1711,CVE-2014-0322,2019-07-15 11:46:24.92503+00,2019-07-15 11:46:24.92503+00
1711,CVE-2012-4792,2019-07-15 11:46:24.941517+00,2019-07-15 11:46:24.941517+00
1715,CVE-2015-5122,2019-07-15 11:46:45.841332+00,2019-07-15 11:46:45.841332+00
1723,CVE-2012-0158,2019-07-15 11:47:23.16465+00,2019-07-15 11:47:23.16465+00
1725,CVE-2012-0158,2019-07-15 11:47:34.749175+00,2019-07-15 11:47:34.749175+00
1726,CVE-2014-4148,2019-07-15 11:47:42.123228+00,2019-07-15 11:47:42.123228+00
1726,CVE-2015-2360,2019-07-15 11:47:42.151197+00,2019-07-15 11:47:42.151197+00
1726,CVE-2011-3402,2019-07-15 11:47:42.173279+00,2019-07-15 11:47:42.173279+00
