report_id,technique_id,created,last_update
1127,attack-pattern--6aac77c4-eaf2-4366-8c13-ce50ab951f38,2019-07-12 13:46:49.0131+00,2019-07-12 13:46:49.0131+00
1127,attack-pattern--f4882e23-8aa7-4b12-b28a-b349c12ee9e0,2019-07-12 13:46:49.046406+00,2019-07-12 13:46:49.046406+00
1127,attack-pattern--7fd87010-3a00-4da3-b905-410525e8ec44,2019-07-12 13:46:49.054698+00,2019-07-12 13:46:49.054698+00
1127,attack-pattern--8c32eb4d-805f-4fc5-bf60-c4d476c131b5,2019-07-12 13:46:49.075022+00,2019-07-12 13:46:49.075022+00
1127,attack-pattern--be2dcee9-a7a7-4e38-afd6-21b31ecc3d63,2019-07-12 13:46:49.084355+00,2019-07-12 13:46:49.084355+00
1128,attack-pattern--b3d682b6-98f2-4fb0-aa3b-b4df007ca70a,2019-07-12 13:47:11.595986+00,2019-07-12 13:47:11.595986+00
1128,attack-pattern--6aabc5ec-eae6-422c-8311-38d45ee9838a,2019-07-12 13:47:11.607644+00,2019-07-12 13:47:11.607644+00
1128,attack-pattern--1608f3e1-598a-42f4-a01a-2e252e81728f,2019-07-12 13:47:11.616972+00,2019-07-12 13:47:11.616972+00
1128,attack-pattern--e358d692-23c0-4a31-9eb6-ecc13a8d7735,2019-07-12 13:47:11.625314+00,2019-07-12 13:47:11.625314+00
1128,attack-pattern--e01be9c5-e763-4caf-aeb7-000b416aef67,2019-07-12 13:47:11.679254+00,2019-07-12 13:47:11.679254+00
1128,attack-pattern--7bc57495-ea59-4380-be31-a64af124ef18,2019-07-12 13:47:11.687551+00,2019-07-12 13:47:11.687551+00
1128,attack-pattern--d742a578-d70e-4d0e-96a6-02a9c30204e6,2019-07-12 13:47:11.695708+00,2019-07-12 13:47:11.695708+00
1128,attack-pattern--e3a12395-188d-4051-9a16-ea8e14d07b88,2019-07-12 13:47:11.704001+00,2019-07-12 13:47:11.704001+00
1128,attack-pattern--0a3ead4e-6d47-4ccb-854c-a6a4f9d96b22,2019-07-12 13:47:11.712465+00,2019-07-12 13:47:11.712465+00
1128,attack-pattern--a93494bb-4b80-4ea1-8695-3236a49916fd,2019-07-12 13:47:11.720805+00,2019-07-12 13:47:11.720805+00
1128,attack-pattern--7fd87010-3a00-4da3-b905-410525e8ec44,2019-07-12 13:47:11.72912+00,2019-07-12 13:47:11.72912+00
1129,attack-pattern--b3d682b6-98f2-4fb0-aa3b-b4df007ca70a,2019-07-12 13:47:34.92112+00,2019-07-12 13:47:34.92112+00
1129,attack-pattern--f879d51c-5476-431c-aedf-f14d207e4d1e,2019-07-12 13:47:34.940766+00,2019-07-12 13:47:34.940766+00
1129,attack-pattern--514ede4c-78b3-4d78-a38b-daddf6217a79,2019-07-12 13:47:34.949226+00,2019-07-12 13:47:34.949226+00
1129,attack-pattern--c8e87b83-edbb-48d4-9295-4974897525b7,2019-07-12 13:47:34.957395+00,2019-07-12 13:47:34.957395+00
1129,attack-pattern--43e7dc91-05b2-474c-b9ac-2ed4fe101f4d,2019-07-12 13:47:34.965713+00,2019-07-12 13:47:34.965713+00
1129,attack-pattern--6aac77c4-eaf2-4366-8c13-ce50ab951f38,2019-07-12 13:47:34.974053+00,2019-07-12 13:47:34.974053+00
1129,attack-pattern--8f4a33ec-8b1f-4b80-a2f6-642b2e479580,2019-07-12 13:47:34.982382+00,2019-07-12 13:47:34.982382+00
1129,attack-pattern--dc27c2ec-c5f9-4228-ba57-d67b590bda93,2019-07-12 13:47:34.990701+00,2019-07-12 13:47:34.990701+00
1129,attack-pattern--dc31fe1e-d722-49da-8f5f-92c7b5aff534,2019-07-12 13:47:34.999041+00,2019-07-12 13:47:34.999041+00
1129,attack-pattern--241814ae-de3f-4656-b49e-f9a80764d4b7,2019-07-12 13:47:35.014604+00,2019-07-12 13:47:35.014604+00
1129,attack-pattern--4b74a1d4-b0e9-4ef1-93f1-14ecc6e2f5b5,2019-07-12 13:47:35.024103+00,2019-07-12 13:47:35.024103+00
1129,attack-pattern--3ccef7ae-cb5e-48f6-8302-897105fbf55c,2019-07-12 13:47:35.032446+00,2019-07-12 13:47:35.032446+00
1129,attack-pattern--be2dcee9-a7a7-4e38-afd6-21b31ecc3d63,2019-07-12 13:47:35.040766+00,2019-07-12 13:47:35.040766+00
