sample_id,report_id,created,last_update
59845,4737,2019-03-20 15:20:54.966454+01,2019-03-20 15:20:54.966454+01
59846,4737,2019-03-20 15:20:54.966454+01,2019-03-20 15:20:54.966454+01
59847,4737,2019-03-20 15:20:54.966454+01,2019-03-20 15:20:54.966454+01
59848,4737,2019-03-20 15:20:54.966454+01,2019-03-20 15:20:54.966454+01
59849,4737,2019-03-20 15:20:54.966454+01,2019-03-20 15:20:54.966454+01
59850,4737,2019-03-20 15:20:54.966454+01,2019-03-20 15:20:54.966454+01
59851,4737,2019-03-20 15:20:54.966454+01,2019-03-20 15:20:54.966454+01
59852,4737,2019-03-20 15:20:54.966454+01,2019-03-20 15:20:54.966454+01
59853,4737,2019-03-20 15:20:54.966454+01,2019-03-20 15:20:54.966454+01
59854,4738,2019-03-20 15:20:56.008171+01,2019-03-20 15:20:56.008171+01
59855,4738,2019-03-20 15:20:56.008171+01,2019-03-20 15:20:56.008171+01
59856,4738,2019-03-20 15:20:56.008171+01,2019-03-20 15:20:56.008171+01
59857,4738,2019-03-20 15:20:56.008171+01,2019-03-20 15:20:56.008171+01
59858,4738,2019-03-20 15:20:56.008171+01,2019-03-20 15:20:56.008171+01
59859,4740,2019-03-20 15:21:05.575066+01,2019-03-20 15:21:05.575066+01
59860,4740,2019-03-20 15:21:05.575066+01,2019-03-20 15:21:05.575066+01
59861,4740,2019-03-20 15:21:05.575066+01,2019-03-20 15:21:05.575066+01
59862,4740,2019-03-20 15:21:05.575066+01,2019-03-20 15:21:05.575066+01
59863,4740,2019-03-20 15:21:05.575066+01,2019-03-20 15:21:05.575066+01
59864,4740,2019-03-20 15:21:05.575066+01,2019-03-20 15:21:05.575066+01
59865,4740,2019-03-20 15:21:05.575066+01,2019-03-20 15:21:05.575066+01
59866,4740,2019-03-20 15:21:05.575066+01,2019-03-20 15:21:05.575066+01
59867,4740,2019-03-20 15:21:05.575066+01,2019-03-20 15:21:05.575066+01
59868,4740,2019-03-20 15:21:05.575066+01,2019-03-20 15:21:05.575066+01
59869,4740,2019-03-20 15:21:05.575066+01,2019-03-20 15:21:05.575066+01
59870,4740,2019-03-20 15:21:05.575066+01,2019-03-20 15:21:05.575066+01
59872,4740,2019-03-20 15:21:05.575066+01,2019-03-20 15:21:05.575066+01
59873,4740,2019-03-20 15:21:05.575066+01,2019-03-20 15:21:05.575066+01
59874,4740,2019-03-20 15:21:05.575066+01,2019-03-20 15:21:05.575066+01
59875,4740,2019-03-20 15:21:05.575066+01,2019-03-20 15:21:05.575066+01
59876,4740,2019-03-20 15:21:05.575066+01,2019-03-20 15:21:05.575066+01
59877,4740,2019-03-20 15:21:05.575066+01,2019-03-20 15:21:05.575066+01
59878,4745,2019-03-20 15:21:27.034113+01,2019-03-20 15:21:27.034113+01
59879,4745,2019-03-20 15:21:27.034113+01,2019-03-20 15:21:27.034113+01
59880,4745,2019-03-20 15:21:27.034113+01,2019-03-20 15:21:27.034113+01
59881,4745,2019-03-20 15:21:27.034113+01,2019-03-20 15:21:27.034113+01
59882,4745,2019-03-20 15:21:27.034113+01,2019-03-20 15:21:27.034113+01
59883,4745,2019-03-20 15:21:27.034113+01,2019-03-20 15:21:27.034113+01
59884,4745,2019-03-20 15:21:27.034113+01,2019-03-20 15:21:27.034113+01
59885,4745,2019-03-20 15:21:27.034113+01,2019-03-20 15:21:27.034113+01
59886,4745,2019-03-20 15:21:27.034113+01,2019-03-20 15:21:27.034113+01
59887,4745,2019-03-20 15:21:27.034113+01,2019-03-20 15:21:27.034113+01
59888,4754,2019-03-20 15:22:14.246607+01,2019-03-20 15:22:14.246607+01
59889,4754,2019-03-20 15:22:14.246607+01,2019-03-20 15:22:14.246607+01
59890,4754,2019-03-20 15:22:14.246607+01,2019-03-20 15:22:14.246607+01
59891,4754,2019-03-20 15:22:14.246607+01,2019-03-20 15:22:14.246607+01
59893,4754,2019-03-20 15:22:14.246607+01,2019-03-20 15:22:14.246607+01
59894,4754,2019-03-20 15:22:14.246607+01,2019-03-20 15:22:14.246607+01
59895,4754,2019-03-20 15:22:14.246607+01,2019-03-20 15:22:14.246607+01
59896,4754,2019-03-20 15:22:14.246607+01,2019-03-20 15:22:14.246607+01
59897,4754,2019-03-20 15:22:14.246607+01,2019-03-20 15:22:14.246607+01
59898,4754,2019-03-20 15:22:14.246607+01,2019-03-20 15:22:14.246607+01
59899,4754,2019-03-20 15:22:14.246607+01,2019-03-20 15:22:14.246607+01
59900,4754,2019-03-20 15:22:14.246607+01,2019-03-20 15:22:14.246607+01
59902,4754,2019-03-20 15:22:14.246607+01,2019-03-20 15:22:14.246607+01
59903,4754,2019-03-20 15:22:14.246607+01,2019-03-20 15:22:14.246607+01
59904,4754,2019-03-20 15:22:14.246607+01,2019-03-20 15:22:14.246607+01
59905,4754,2019-03-20 15:22:14.246607+01,2019-03-20 15:22:14.246607+01
59906,4754,2019-03-20 15:22:14.246607+01,2019-03-20 15:22:14.246607+01
59907,4754,2019-03-20 15:22:14.246607+01,2019-03-20 15:22:14.246607+01
59908,4754,2019-03-20 15:22:14.246607+01,2019-03-20 15:22:14.246607+01
59909,4754,2019-03-20 15:22:14.246607+01,2019-03-20 15:22:14.246607+01
59910,4754,2019-03-20 15:22:14.246607+01,2019-03-20 15:22:14.246607+01
59911,4754,2019-03-20 15:22:14.246607+01,2019-03-20 15:22:14.246607+01
59912,4754,2019-03-20 15:22:14.246607+01,2019-03-20 15:22:14.246607+01
59913,4754,2019-03-20 15:22:14.246607+01,2019-03-20 15:22:14.246607+01
59914,4754,2019-03-20 15:22:14.246607+01,2019-03-20 15:22:14.246607+01
59917,4754,2019-03-20 15:22:14.246607+01,2019-03-20 15:22:14.246607+01
59918,4754,2019-03-20 15:22:14.246607+01,2019-03-20 15:22:14.246607+01
59919,4754,2019-03-20 15:22:14.246607+01,2019-03-20 15:22:14.246607+01
59920,4754,2019-03-20 15:22:14.246607+01,2019-03-20 15:22:14.246607+01
59921,4754,2019-03-20 15:22:14.246607+01,2019-03-20 15:22:14.246607+01
59922,4755,2019-03-20 15:22:15.570812+01,2019-03-20 15:22:15.570812+01
59923,4755,2019-03-20 15:22:15.570812+01,2019-03-20 15:22:15.570812+01
59924,4755,2019-03-20 15:22:15.570812+01,2019-03-20 15:22:15.570812+01
59925,4755,2019-03-20 15:22:15.570812+01,2019-03-20 15:22:15.570812+01
59926,4755,2019-03-20 15:22:15.570812+01,2019-03-20 15:22:15.570812+01
59927,4755,2019-03-20 15:22:15.570812+01,2019-03-20 15:22:15.570812+01
59928,4755,2019-03-20 15:22:15.570812+01,2019-03-20 15:22:15.570812+01
59929,4755,2019-03-20 15:22:15.570812+01,2019-03-20 15:22:15.570812+01
59930,4755,2019-03-20 15:22:15.570812+01,2019-03-20 15:22:15.570812+01
59931,4755,2019-03-20 15:22:15.570812+01,2019-03-20 15:22:15.570812+01
59933,4755,2019-03-20 15:22:15.570812+01,2019-03-20 15:22:15.570812+01
59936,4755,2019-03-20 15:22:15.570812+01,2019-03-20 15:22:15.570812+01
59938,4755,2019-03-20 15:22:15.570812+01,2019-03-20 15:22:15.570812+01
59939,4755,2019-03-20 15:22:15.570812+01,2019-03-20 15:22:15.570812+01
59940,4755,2019-03-20 15:22:15.570812+01,2019-03-20 15:22:15.570812+01
59941,4755,2019-03-20 15:22:15.570812+01,2019-03-20 15:22:15.570812+01
59943,4755,2019-03-20 15:22:15.570812+01,2019-03-20 15:22:15.570812+01
59944,4757,2019-03-20 15:22:23.728313+01,2019-03-20 15:22:23.728313+01
59945,4757,2019-03-20 15:22:23.728313+01,2019-03-20 15:22:23.728313+01
59946,4757,2019-03-20 15:22:23.728313+01,2019-03-20 15:22:23.728313+01
59947,4757,2019-03-20 15:22:23.728313+01,2019-03-20 15:22:23.728313+01
59948,4757,2019-03-20 15:22:23.728313+01,2019-03-20 15:22:23.728313+01
59949,4757,2019-03-20 15:22:23.728313+01,2019-03-20 15:22:23.728313+01
59950,4757,2019-03-20 15:22:23.728313+01,2019-03-20 15:22:23.728313+01
59951,4757,2019-03-20 15:22:23.728313+01,2019-03-20 15:22:23.728313+01
59952,4757,2019-03-20 15:22:23.728313+01,2019-03-20 15:22:23.728313+01
59953,4757,2019-03-20 15:22:23.728313+01,2019-03-20 15:22:23.728313+01
59954,4757,2019-03-20 15:22:23.728313+01,2019-03-20 15:22:23.728313+01
59955,4757,2019-03-20 15:22:23.728313+01,2019-03-20 15:22:23.728313+01
59956,4757,2019-03-20 15:22:23.728313+01,2019-03-20 15:22:23.728313+01
59957,4757,2019-03-20 15:22:23.728313+01,2019-03-20 15:22:23.728313+01
59958,4757,2019-03-20 15:22:23.728313+01,2019-03-20 15:22:23.728313+01
59959,4757,2019-03-20 15:22:23.728313+01,2019-03-20 15:22:23.728313+01
59960,4757,2019-03-20 15:22:23.728313+01,2019-03-20 15:22:23.728313+01
59961,4757,2019-03-20 15:22:23.728313+01,2019-03-20 15:22:23.728313+01
59962,4760,2019-03-20 15:22:32.511819+01,2019-03-20 15:22:32.511819+01
59963,4760,2019-03-20 15:22:32.511819+01,2019-03-20 15:22:32.511819+01
59964,4760,2019-03-20 15:22:32.511819+01,2019-03-20 15:22:32.511819+01
59965,4760,2019-03-20 15:22:32.511819+01,2019-03-20 15:22:32.511819+01
59966,4760,2019-03-20 15:22:32.511819+01,2019-03-20 15:22:32.511819+01
59967,4760,2019-03-20 15:22:32.511819+01,2019-03-20 15:22:32.511819+01
59968,4760,2019-03-20 15:22:32.511819+01,2019-03-20 15:22:32.511819+01
59969,4760,2019-03-20 15:22:32.511819+01,2019-03-20 15:22:32.511819+01
59970,4760,2019-03-20 15:22:32.511819+01,2019-03-20 15:22:32.511819+01
59971,4760,2019-03-20 15:22:32.511819+01,2019-03-20 15:22:32.511819+01
59972,4760,2019-03-20 15:22:32.511819+01,2019-03-20 15:22:32.511819+01
